pmid,abstract
17416416,"Waldenström's Macroglobulinaemia (WM) is an uncommon B-cell lymphoproliferative disorder defined as a predominately inter-trabecular bone marrow infiltration of small lymphocytes with an IgM monoclonal gammopathy. There are little reliable incidence and survival data for the disease in the UK since epidemiological studies have usually grouped it with other plasma cell dyscrasias. This study uses data from the South Thames Haematology Register and the Thames Cancer Registry for South East England to describe the incidence and survival of WM, and the influence of selected clinical factors on survival. Between 1999 and 2001, there were 152 new cases of WM recorded in the South Thames Haematology Register, giving an age standardised rate of 0.55 per 100,000 European standard population (0.73 for males and 0.42 for females). The incidence increased with age, and the median age at diagnosis was 75 years (range 45-93 years). The estimated 5 year survival was 57% (95% CI: 47-66%). Age over 70, haemoglobin less than 10 g/L and the Eastern Cooperative Oncology Group (ECOG) Performance Status grade 3-4 at diagnosis were associated with worse survival. Between 1985 and 2002, the Thames Cancer Registry recorded 750 cases of WM occurring in the wider area of South East England. The relative 5 year survival for patients aged less than 70 years was 70% (95% CI: 60-81%) and for patients aged 70 and over it was 50% (95% CI: 41-60%)."
15875532,"BACKGROUND: Hereditary angioedema (HAE) is a rare disease caused by C1 inhibitor mutations. Although more than 100 mutations have been described, epidemiologic data are lacking; therefore, we developed a Spanish HAE patient registry. OBJECTIVE: To study the prevalence of HAE and the current state of diagnosis and treatment of this disease in Spain. METHODS: Epidemiologic data were obtained by direct contact with physicians who treat patients with HAE and with patients themselves. Diagnosis was evaluated by measuring C1 inhibitor levels and function, and most families also underwent genetic studies. RESULTS: We registered 444 patients (minimal prevalence, 1.09 per 100,000 inhabitants), many of whom are asymptomatic (never having symptoms) (n = 61, 13.7%). Most symptomatic patients (62.9%) receive long-term prophylaxis with attenuated androgens (80.9%) and antifibrinolytic agents (22.8%), alone or in combination, but no patients are receiving long-term prophylaxis with C1 inhibitor. There is a long delay in diagnosis (mean, 13.1 years). Nine patients underwent a tracheotomy as a consequence of a laryngeal attack, and 30 families recalled a total of 38 relatives who died of HAE, which underlines the severity of the illness. CONCLUSIONS: The detected minimal prevalence of HAE in Spain is 1.09 per 100,000 inhabitants. Because this is a rare disease and some patients may be misdiagnosed, this prevalence could be higher."
19320656,"Facioscapulohumeral muscular dystrophy (FSHD) is an autosomal dominant disease associated with a partial deletion on chromosome 4q35. Few relevant investigations have been reported on its epidemiology and were essentially based on clinical diagnosis, having been performed before recognition of the molecular mutation. We report an epidemiological survey on FSHD patients, in which the diagnosis was obtained by combined clinical and molecular evaluation. The survey concerned the north-east Italian province of Padova, an area of 871,190 inhabitants (1 January 2004). We identified 40 patients affected by FSHD based on clinical diagnosis. In 33 of them, the EcoRI fragment size in the 4q35 region ranged from 14 to 35 kb. Four other patients belonging to the same family harbored a 38-kb fragment. In these four cases, the relationship between the borderline deletion with the mild FSHD phenotype was corroborated by additional haplotype reconstruction and segregation analysis. Interestingly, the same mild facial-sparing clinical pattern was apparent only in one other patient with an EcoRI fragment of 32 kb, suggesting that this unusual FSHD phenotype may be due to very small 4q35 deletions. On the whole, estimating a prevalence rate of 44 x 10(-6), our survey confirmed FSHD as one of the most frequent neuromuscular disorders in Western populations."
17406640,"We have performed an entire-population-based survey of the epidemiology and penetrance of Leber hereditary optic neuropathy (LHON) in Finland - a country that is among the best-studied genetic isolates in the world. During our long-term clinical follow-up period since 1970, we have so far identified 36 LHON families in Finland, comprised of almost 1000 family members. Counting the unaffected family members has been possible thanks to accessible genealogical records, and this has improved the accuracy of our penetrance figures by minimizing the sample bias. Our results, although confirming some well-known features of LHON, indicate that the overall penetrance of LHON is lower than previously estimated, and that affected females have a higher incidence of affected offspring compared to the unaffected females. The prevalence of LHON in Finland is 1:50 000, and one in 9000 Finns is a carrier of one of the three LHON primary mutations."
18657826,"To determine an accurate estimate of the prevalence of congenital heart defects (CHD) using current standard diagnostic modalities.We obtained data on infants with CHD delivered during 1998 to 2005 identified by the Metropolitan Atlanta Congenital Defects Program, an active, population-based, birth defects surveillance system. Physiologic shunts in infancy and shunts associated with prematurity were excluded. Selected infant and maternal characteristics of the cases were compared with those of the overall birth cohort.From 1998 to 2005 there were 398 140 births, of which 3240 infants had CHD, for an overall prevalence of 81.4/10 000 births. The most common CHD were muscular ventricular septal defect, perimembranous ventricular septal defect, and secundum atrial septal defect, with prevalence of 27.5, 10.6, and 10.3/10 000 births, respectively. The prevalence of tetralogy of Fallot, the most common cyanotic CHD, was twice that of transposition of the great arteries (4.7 vs 2.3/10 000 births). Many common CHD were associated with older maternal age and multiple-gestation pregnancy; several were found to vary by sex.This study, using a standardized cardiac nomenclature and classification, provides current prevalence estimates of the various CHD subtypes. These estimates can be used to assess variations in prevalence across populations, time, or space."
22469211,"Existing epidemiological studies of Myasthenia Gravis have generally examined small populations. Few national studies have been conducted, and published incidence and prevalence rates vary widely. We report one of the largest national studies of Myasthenia Gravis, and the first incidence and prevalence rates for Australia.Prescriptions for Pyridostigmine Bromide in 2009 were utilized from a national prescribing database to estimate incidence and the prevalence of symptomatic and treated disease. Crude rates were age-standardized to the WHO world population. We compared standardized rates to recent national studies from Norway and Taiwan.In 2009, there were 2574 prevalent cases of symptomatic and treated Myasthenia Gravis, corresponding to an annual crude prevalence rate of 117.1 per 1 million residents. There were 545 incident cases, yielding a crude incidence rate of 24.9 per 1 million residents. The crude incidence in women and men was estimated to be 27.9 and 21.9 per 1 million, respectively. Prevalence and incidence rates were higher in women than men between the ages of 15 and 64 years, and were higher in men than women in those older than 65 years. Rates peaked between the ages of 74 and 84 years, declining thereafter. Standardized incidence was higher in Australia than Norway, but similar to Taiwan (P-values = 0.007 and 1.00, respectively).This first Australian epidemiological study of symptomatic Myasthenia Gravis is one of the largest population-based studies ever reported and supports higher incidence rates for Myasthenia Gravis. Myasthenia Gravis disproportionately affected younger females and older males."
25712311,"Hypospadias is a common congenital malformation. The prevalence of hypospadias has a large geographical variation, and recent studies have reported both increasing and decreasing temporal trends. It is unclear whether hypospadias prevalence is associated with maternal age.To analyze the prevalence and trends of total hypospadias, isolated hypospadias, hypospadias with multiple congenital anomalies, hypospadias with a known cause, and hypospadias severity subtypes in Europe over a 10-year period and to investigate whether maternal age is associated with hypospadias.We included all children with hypospadias born from 2001 to 2010 who were registered in 23 EUROCAT registries. Information on the total number of births and maternal age distribution for the registry population was also provided. We analyzed the total prevalence of hypospadias and relative risks by maternal age.From 2001 to 2010, 10,929 hypospadias cases were registered in 5,871,855 births, yielding a total prevalence of 18.61 per 10,000 births. Prevalence varied considerably between different registries, probably due to differences in ascertainment of hypospadias cases. No significant temporal trends were observed with the exceptions of an increasing trend for anterior and posterior hypospadias and a decreasing trend for unspecified hypospadias. After adjusting for registry effects, maternal age was not significantly associated with hypospadias.Total hypospadias prevalence was stable in 23 EUROCAT registries from 2001 to 2010 and was not significantly influenced by maternal age."
20331952,"BACKGROUND: The number of individuals with sickle cell disease (SCD) in the U.S. is unknown. Determination of burden of disease, healthcare issues, and policies is best served by representative estimations of the SCD population. PURPOSE: To update SCD population estimates by using recent U.S. Census and birth-cohort SCD prevalence for at-risk populations as available through the centralized reporting of universal newborn screening for hemoglobinopathies, with an effort to demonstrate the potential effect of early mortality. METHODS: National and state SCD populations were estimated based on the 2008 U.S. Census, using total, African-American, and Hispanic birth-cohort disease prevalence derived from the National Newborn Screening Information System. Estimates were corrected for early mortality for sickle cell anemia using data from the CDC's Compressed Mortality Report and published patient-cohort survival information. RESULTS: National SCD population estimates ranged from 104,000 to 138,900, based on birth-cohort disease prevalence, but from 72,000 to 98,000 when corrected for early mortality. Several limitations were noted in the available data, particularly for SCD mortality in adults. CONCLUSIONS: The number of individuals with SCD in the U.S. may approach 100,000, even when accounting for the effect of early mortality on estimations. A paucity of high-quality data limits appropriate estimation. State-to-state variability may preclude application of state-specific information to other states or to the nation as a whole. Standardized collection and centralized reporting, a surveillance system, will be necessary to assess the size and composition of the U.S. SCD population."
2785614,"In a national study the prevalence of open meningocele and myelomeningocele as well as the geographical distribution in the Federal Republic of Germany was determined among the life-born infants during 1982 and 1983. The prevalence rates of the single districts and states and the federal territory were established based upon standardized reports of nearly all Children's Hospitals, Departments of Child Surgery and the major Centers of Neurosurgery. In Hamburg the study was extended by establishing the number of abortions because of medical indications after the prenatal diagnosis of a myelomeningocele. In 1982 and 1983 there were 354 resp. 342 infants born with an open myelomeningocele, thus the prevalence rate was 0.569 and 0.575/1000 live births. The average prevalence rate was 0.57/1000 live births. Compared with international studies our data are corresponding with reports from countries with a relative low frequency. The prevalence rates of the states in the federal territory differ between 0.42/1000 live births in Hamburg and 0.78/1000 in Bremen; these differences are not statistically significant. In 9 from 247 districts, the reported rates were significantly higher than the average rate. Because of the small number of children born with this malformation in the single districts, any conclusions from these results are not warranted. Quite different from reports of other countries (Great Britain, United States of America) this study did not show essential geographic differences in the federal territory. Prenatal diagnosis and subsequent termination of pregnancy lowered the prevalence rate of open meningomyelocele at birth in Hamburg from 0.61/1000 to 0.42/1000."
24497219,"Since the original description, there have been only few epidemiological studies of Wolfram syndrome (WS).Aims of the present paper are to ascertain WS prevalence and expression in a district of North-eastern Sicily, i.e. a geographic area where consanguineous unions are not very unusual.Prevalence rates of WS in the Messina district were calculated by taking into consideration both the total population (653,737) and the populations included within the 0-30 year age range (202,681). We estimated the relative prevalence of WS among patients with youth-onset insulin-dependent diabetes mellitus (DM) who are currently aged under 30 years (256).Global WS prevalence in our district is 1:54,478, whereas prevalence among individuals under 30 is 1:16,890 and relative prevalence among patients with juvenile-onset insulin-dependent DM is 1:22.3. When compared with the patients with insulin-dependent DM of Messina district, WS patients did not exhibit significant differences in terms of biochemical features at DM onset, whereas age at DM diagnosis was significantly earlier in WS group.(a) WS prevalence is not so infrequent as generally expected; (b) in our series, DM presented before 10 years in 11/12 patients and ten cases have already developed all the four peculiar manifestations of WS by 26 years; (c) 9/12 patients exhibited a homozygous frameshift/truncation mutation (Y454_L459del_fsX454), which is the one most frequently found also in patients from other Italian regions; (d) age at DM diagnosis was significantly earlier in WS group than in the patients with insulin-dependent DM of Messina district."
