OrphaCode,Disease Name,Orpha Epi Type,Orpha Epi Class,Orpha Epi Rate,Orpha Loc,Source,PMID
166024,"Multiple epiphyseal dysplasia, Al-Gazali type",Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_11389160[PMID]_9689990[PMID],11389160
166024,"Multiple epiphyseal dysplasia, Al-Gazali type",Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_11389160[PMID]_9689990[PMID],9689990
58,Alexander disease,Annual incidence,<1 / 1 000 000,0.037,Japan,21533827[PMID]_[EXPERT],21533827
166032,"Multiple epiphyseal dysplasia, with miniepiphyses",Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_15523498[PMID],15523498
61,Alpha-mannosidosis,Prevalence at birth,<1 / 1 000 000,0.09,Australia,9918480[PMID],9918480
61,Alpha-mannosidosis,Prevalence at birth,1-9 / 1 000 000,0.13,Norway,7900112[PMID],7900112
61,Alpha-mannosidosis,Prevalence at birth,<1 / 1 000 000,0.09,Netherlands,10480370[PMID],10480370
61,Alpha-mannosidosis,Prevalence at birth,1-9 / 1 000 000,0.12,Portugal,14685153[PMID],14685153
61,Alpha-mannosidosis,Prevalence at birth,1-9 / 1 000 000,0.38,Czech Republic,20490927[PMID],20490927
61,Alpha-mannosidosis,Prevalence at birth,<1 / 1 000 000,0.07,Sweden,25274184[PMID],25274184
166029,"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_15523498[PMID],15523498
166038,"Metaphyseal chondrodysplasia, Kaitila type",Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_6979929[PMID],6979929
93,Aspartylglucosaminuria,Prevalence at birth,1-9 / 1 000 000,0.2,Australia,9918480[PMID],9918480
93,Aspartylglucosaminuria,Prevalence at birth,1-9 / 1 000 000,0.62,Sweden,25274184[PMID],25274184
93,Aspartylglucosaminuria,Prevalence at birth,1-9 / 100 000,3.35,Finland,27906067[PMID],27906067
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_7252997[PMID]_28285769[PMID],7252997
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_7252997[PMID]_28285769[PMID],28285769
118,Beta-mannosidosis,Prevalence at birth,1-9 / 1 000 000,0.14,Europe,14685153[PMID]_10480370[PMID]_20490927[PMID],14685153
118,Beta-mannosidosis,Prevalence at birth,1-9 / 1 000 000,0.14,Europe,14685153[PMID]_10480370[PMID]_20490927[PMID],10480370
118,Beta-mannosidosis,Prevalence at birth,1-9 / 1 000 000,0.14,Europe,14685153[PMID]_10480370[PMID]_20490927[PMID],20490927
118,Beta-mannosidosis,Prevalence at birth,1-9 / 1 000 000,0.16,Czech Republic,20490927[PMID],20490927
118,Beta-mannosidosis,Prevalence at birth,1-9 / 1 000 000,0.13,Netherlands,10480370[PMID],10480370
118,Beta-mannosidosis,Prevalence at birth,1-9 / 1 000 000,0.12,Portugal,14685153[PMID],14685153
